task_id,episode_id,time,x,x_dot,theta,theta_dot,u,x_ddot_true,theta_ddot_true,x_ddot_nom,theta_ddot_nom,res_x_ddot,res_theta_ddot,pole_length,cart_mass,pole_mass
0,0,0.74,0.026719498161680826,-0.4439670464543017,0.13867636988926849,0.1131069343064108,2.1216797286692883,2.657983143435086,-2.5527424017054408,3.57675468396082,-5.833974855046144,-0.9187715405257344,3.281232453340703,0.375,0.75,0.07500000000000001
0,0,0.76,0.01890335048996883,-0.39080738358559997,0.13991741161471452,0.06205208627230199,2.1116910532039133,2.6440446796481774,-2.5001914648981205,3.5584774477244046,-5.7519499134353245,-0.9144327680762272,3.251758448537204,0.375,0.75,0.07500000000000001
0,0,0.78,0.0121448206901161,-0.3379264899926364,0.1401583767542013,0.012048256974339581,2.0855609610433627,2.609908132161226,-2.4278137408809526,3.513024291591655,-5.62537534113935,-0.9031161594304291,3.197561600258397,0.375,0.75,0.07500000000000001
0,0,0.8,0.006430254143127863,-0.2857283273494119,0.1394282163973357,-0.03650801784327947,2.044081189583546,2.556577483723224,-2.336991035423948,3.4417413658673994,-5.4569807040447325,-0.8851638821441754,3.1199896686207844,0.375,0.75,0.07500000000000001
0,0,0.8200000000000001,0.0017383185896289143,-0.2345967776749474,0.13776325962630054,-0.08324783855175844,1.9881642157443096,2.4852043596821805,-2.229213315328242,3.346173967363769,-5.249753551276639,-0.8609696076815885,3.020540235948397,0.375,0.75,0.07500000000000001
0,0,0.84,-0.0019595352199971616,-0.1848926904813038,0.13520661752913407,-0.12783210485832328,1.9188239993940603,2.39706433753413,-2.1060521121516116,3.2280346605365455,-5.006886822631347,-0.8309703230024157,2.900834710479735,0.375,0.75,0.07500000000000001
0,0,0.86,-0.004698563294609586,-0.1369514037306212,0.13180755458710697,-0.1699531471013555,1.8371575222617695,2.2935344466703684,-1.969138362085765,3.089172964028453,-4.731734022483931,-0.7956385173580847,2.7625956603981656,0.375,0.75,0.07500000000000001
0,0,0.88,-0.006520177590553863,-0.09108071479721383,0.12762083630024554,-0.2093359143430708,1.744325865285053,2.176070131438067,-1.8201402168950942,2.9315443157318812,-4.427764250527576,-0.7554741842938144,2.607624033632482,0.375,0.75,0.07500000000000001
0,0,0.9,-0.007471363833922913,-0.047559312168452494,0.12270606192662609,-0.2457387186809727,1.6415380521279346,2.04618578281632,-1.6607479633556548,2.757183804845398,-4.098529825865572,-0.7109980220290777,2.437781862509917,0.375,0.75,0.07500000000000001
0,0,0.92,-0.007604075764165435,-0.006635596512126092,0.11712698836766437,-0.2789536779480858,1.5300355993659314,1.9054360901616076,-1.4926597927720524,2.568181017160118,-3.747635370003918,-0.6627449269985102,2.254975577231866,0.375,0.75,0.07500000000000001
0,0,0.9400000000000001,-0.006974613258343314,0.03147312529110606,0.11095085089159383,-0.30880687380352684,1.4110789689414625,1.755399707827348,-1.31757071576912,2.3666579953789513,-3.3787124385611946,-0.6112582875516033,2.0611417227920743,0.375,0.75,0.07500000000000001
0,0,0.96,-0.005642990869390253,0.06658111944765302,0.10424768512921564,-0.33515828811890924,1.2859357209855076,1.5976649339966966,-1.1371635533960756,2.154749916285674,-2.9953977978141095,-0.5570849822889772,1.858234244418034,0.375,0.75,0.07500000000000001
0,0,0.98,-0.003672302506838514,0.09853441812758695,0.09708965394547903,-0.35790155918683075,1.155870245083631,1.4338172207449553,-0.953101364586395,1.9345882458443815,-2.601314206371823,-0.5007710250994262,1.648212841785428,0.375,0.75,0.07500000000000001
0,0,1.0,-0.0011280872559887925,0.12721076254248606,0.08955038221590786,-0.37696358647855865,1.0221348721290033,1.2654282525810758,-0.7670206830967335,1.7082860215667364,-2.200052589992021,-0.44285776898566054,1.4330319068952875,0.375,0.75,0.07500000000000001
0,0,1.02,0.001922299295893359,0.15251932759410758,0.08170430221309799,-0.3923040001404933,0.8859621112269366,1.0940462708545207,-0.580524970911131,1.477924829349196,-1.795154565190828,-0.38387855849467534,1.214629594279697,0.375,0.75,0.07500000000000001
0,0,1.04,0.005410304356117319,0.174400253011198,0.07362601222192366,-0.40391449955871594,0.7485577522781721,0.9211873290620828,-0.3951778343649043,1.2455430503566876,-1.390094524550665,-0.32435572129460477,0.9949166901857608,0.375,0.75,0.07500000000000001
0,0,1.06,0.009266784347966113,0.19282399959243965,0.06538965109700338,-0.41181805624601403,0.6110945636708632,0.7483271592874582,-0.21249563215390843,1.0131249458320961,-0.9882606543806098,-0.2647977865446379,0.7757650222267014,0.375,0.75,0.07500000000000001
0,0,1.08,0.01342259520352989,0.2077905427781888,0.05706829171922154,-0.4160679688890922,0.474706355019049,0.5768933892567232,-0.0339392817530898,0.7825902259809067,-0.5929345812317324,-0.20569683672418348,0.5589952994786426,0.375,0.75,0.07500000000000001
0,0,1.1,0.017809163414796356,0.21932841056332328,0.048733356628738456,-0.416746754524154,0.34048221611473095,0.40825790644960364,0.13909478824602195,0.5557838248391799,-0.20726960385672563,-0.14752591838957624,0.3463643921027476,0.375,0.75,0.07500000000000001
0,0,1.12,0.022359034788642665,0.22749356869231535,0.040454059453553785,-0.41396485875923356,0.20946079867696488,0.2437292379258285,0.3052844507865554,0.3344656996624436,0.1657322733792029,-0.09073646173661509,0.1395521774073525,0.375,0.75,0.07500000000000001
0,0,1.1400000000000001,0.027006397857659303,0.23236815345083192,0.03229687605868374,-0.40785916974350245,0.08262457228300821,0.08454489598705012,0.46339223530363627,0.1203005827895598,0.5232440467377714,-0.03575568680250968,-0.059851811434135094,0.375,0.75,0.07500000000000001
0,0,1.16,0.03168757888507076,0.23405905137057292,0.024325049557935144,-0.3985913250374297,-0.03910606585766012,-0.06813643288731408,0.612276198524489,-0.08515248180703815,0.8626380469530152,0.017016048919724067,-0.25036184842852616,0.375,0.75,0.07500000000000001
0,0,1.18,0.03634150533932729,0.23269632271282664,0.016598133536596345,-0.38634580106693994,-0.15487810388444706,-0.21324188853939635,0.7508991781482593,-0.2804495303358079,1.1815070386839297,0.06720764179641153,-0.43060786053567035,0.375,0.75,0.07500000000000001
0,0,1.2,0.040910135038168066,0.22843148494203872,0.00917157718651685,-0.37132781750397476,-0.2639122066522232,-0.34979263243239134,0.8783403002629225,-0.464272674815655,1.477688918601847,0.11448004238326365,-0.5993486183389244,0.375,0.75,0.07500000000000001
0,0,1.22,0.045338847684035885,0.2214356322933909,0.0020963569565425246,-0.3537610114987163,-0.36550766615845653,-0.47691021363055613,0.9938026724398197,-0.6354386695143552,1.7492841502830512,0.1585284558837991,-0.7554814778432315,0.375,0.75,0.07500000000000001
0,0,1.24,0.04957679624445148,0.21189742802077977,-0.004581342204455874,-0.3338849580499199,-0.45904744808689707,-0.5938229755884968,1.0966210267244203,-0.7929075401660601,1.994672593558457,0.1990845645775633,-0.8980515668340368,0.375,0.75,0.07500000000000001
0,0,1.26,0.053577215614631676,0.20002096850900983,-0.010820392954764505,-0.3119525375154315,-0.5440025241447113,-0.6998714599703623,1.1862673408103264,-0.935789880949462,2.2125261817589554,0.23591842097909976,-1.026258840948629,0.375,0.75,0.07500000000000001
0,0,1.28,0.05729768640082373,0.18602353930960258,-0.016584936768749003,-0.288227190699225,-0.6199354163116071,-0.7945127285930428,1.2623544485555027,-1.0633527098850606,2.401817442305204,0.2688399812920178,-1.1394629937497012,0.375,0.75,0.07500000000000001
0,0,1.3,0.060700352095578565,0.17013328473774172,-0.021844538803311303,-0.2629801017281149,-0.6865027934507433,-0.877323418354324,1.3246374792698232,-1.1750236310789175,2.561823562730733,0.29770021272459346,-1.2371860834609099,0.375,0.75,0.07500000000000001
0,0,1.32,0.06375208842299167,0.15258681637065524,-0.026574285846165672,-0.23648735214271846,-0.7434569899600686,-0.9480013849429855,1.3730130669467349,-1.2703931066773404,2.692125897623475,0.32239172173435493,-1.3191128306767401,0.375,0.75,0.07500000000000001
0,0,1.34,0.06642462419642758,0.13362678867179553,-0.030754827662241347,-0.20902709080378376,-0.7906463549678342,-1.0063658422044672,1.407516371561275,-1.3492147097682767,2.7926050033277847,0.3428488675638095,-1.3850886317665096,0.375,0.75,0.07500000000000001
0,0,1.36,0.06869461363298171,0.11349947182770619,-0.034372362929692514,-0.18087676337255826,-0.8280143855595071,-1.0523559609163458,1.4283160472379375,-1.4114033059406865,2.863431462723878,0.35904734502434077,-1.4351154154859407,0.375,0.75,0.07500000000000001
0,0,1.3800000000000001,0.07054366068516929,0.09245235260937927,-0.037418571778248505,-0.1523104424277995,-0.8555976451230083,-1.0860279491263822,1.4357073707923926,-1.4570311900003552,2.9050529114030224,0.37100324087397296,-1.4693455406106297,0.375,0.75,0.07500000000000001
0,0,1.4000000000000001,0.07195829655770632,0.07073179362685163,-0.03989049767848754,-0.12359629501195166,-0.8735225144080302,-1.1075506917624627,1.4301038043198355,-1.4863222795289528,2.918177790701695,0.3787715877664901,-1.4880739863818593,0.375,0.75,0.07500000000000001
0,0,1.42,0.07292991215353836,0.04858077979160237,-0.04179038205699864,-0.09499421892555494,-0.8820007607490414,-1.1171999405920328,1.4120270339807983,-1.4996443526468044,2.9037559460207447,0.38244441205477164,-1.4917289120399464,0.375,0.75,0.07500000000000001
0,0,1.44,0.0734546477731336,0.026236780979761717,-0.04312545562191742,-0.06675367824593897,-0.8813247145459976,-1.1153520845872602,1.3820975376494171,-1.497500703956099,2.8629597714371466,0.3821486193688388,-1.4808622337877295,0.375,0.75,0.07500000000000001
