time,x,x_dot,theta,theta_dot,u,x_ref,theta_ref
5.611222444889779,-0.05055475795580671,0.7649321466259362,-0.006424384311645938,-0.5774845727324741,-0.48349616911024906,0.0,0.0
5.6312625250501,-0.035442987654438554,0.7555885150684076,-0.017731699209357493,-0.5653657448855777,-0.7394957914963065,0.0,0.0
5.651302605210421,-0.020614810451819083,0.7414088601309735,-0.028718148799920892,-0.54932247952817,-0.9852387036889689,0.0,0.0
5.671342685370742,-0.006163018282152681,0.7225896084833201,-0.039309340178860286,-0.5295595689469696,-1.2191312803826242,0.0,0.0
5.691382765531062,0.007824130432276989,0.6993574357214835,-0.049435474847735285,-0.50630673344375,-1.439672678109234,0.0,0.0
5.7114228456913825,0.02126347895360931,0.671967426066616,-0.059031806421363964,-0.4798165786814339,-1.6454706011575508,0.0,0.0
5.731462925851703,0.03407749751169544,0.6407009279043065,-0.0680390505558927,-0.45036220672643684,-1.8352570904181211,0.0,0.0
5.751503006012024,0.04619475972917427,0.6058631108739416,-0.07640374098372399,-0.4182345213915646,-2.0079036323045814,0.0,0.0
5.771543086172344,0.05755036459372701,0.567780243227637,-0.08407852663543307,-0.3837392825854542,-2.162434891504023,0.0,0.0
5.791583166332665,0.06808629900690977,0.526796720659138,-0.09102240613886277,-0.34719397517148504,-2.2980404215760415,0.0,0.0
5.811623246492986,0.07775173678695418,0.4832718890022206,-0.0972008974353008,-0.3089245648219015,-2.4140837989362605,0.0,0.0
5.831663326653306,0.08650327103561,0.43757671243279045,-0.10258614176083493,-0.2692622162767061,-2.5101087529206656,0.0,0.0
5.851703406813627,0.09430507794592806,0.3900903455159034,-0.10715694272690766,-0.22854004830363647,-2.5858420186886053,0.0,0.0
5.871743486973948,0.10112901137038378,0.34119667122278646,-0.11089874262256187,-0.18708999478271005,-2.641192809478121,0.0,0.0
5.891783567134269,0.10695462872461461,0.29128086771154116,-0.1138035392867532,-0.14523983320956635,-2.6762489773716878,0.0,0.0
5.911823647294589,0.11176915000964313,0.24072606425142562,-0.11586974791103571,-0.10331043121412578,-2.6912700941873715,0.0,0.0
